date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2022-11-27,Japan,Costa Rica,0.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-27,Spain,Germany,1.0,1.0,FIFA World Cup,Al Khor,Qatar,True
2022-11-27,Belgium,Morocco,0.0,2.0,FIFA World Cup,Doha,Qatar,True
2022-11-27,Croatia,Canada,4.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-28,Brazil,Switzerland,1.0,0.0,FIFA World Cup,Doha,Qatar,True
2022-11-28,South Korea,Ghana,2.0,3.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-28,Portugal,Uruguay,2.0,0.0,FIFA World Cup,Lusail,Qatar,True
2022-11-29,Ecuador,Senegal,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-29,Qatar,Netherlands,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False
2022-11-29,Wales,England,0.0,3.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-11-29,Iran,United States,0.0,1.0,FIFA World Cup,Doha,Qatar,True
2022-11-30,Poland,Argentina,0.0,2.0,FIFA World Cup,Doha,Qatar,True
2022-11-30,Saudi Arabia,Mexico,1.0,2.0,FIFA World Cup,Lusail,Qatar,True
2022-11-30,Australia,Denmark,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-11-30,Tunisia,France,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-01,Japan,Spain,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-01,Costa Rica,Germany,2.0,4.0,FIFA World Cup,Al Khor,Qatar,True
2022-12-01,Croatia,Belgium,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-01,Canada,Morocco,1.0,2.0,FIFA World Cup,Doha,Qatar,True
2022-12-02,Serbia,Switzerland,2.0,3.0,FIFA World Cup,Doha,Qatar,True
2022-12-02,Cameroon,Brazil,1.0,0.0,FIFA World Cup,Lusail,Qatar,True
2022-12-02,Ghana,Uruguay,0.0,2.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-12-02,South Korea,Portugal,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-03,Netherlands,United States,3.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-03,Argentina,Australia,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-04,France,Poland,3.0,1.0,FIFA World Cup,Doha,Qatar,True
2022-12-04,England,Senegal,3.0,0.0,FIFA World Cup,Al Khor,Qatar,True
2022-12-05,Japan,Croatia,1.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True
2022-12-05,Brazil,South Korea,4.0,1.0,FIFA World Cup,Doha,Qatar,True
2022-12-06,Morocco,Spain,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-06,Portugal,Switzerland,6.0,1.0,FIFA World Cup,Lusail,Qatar,True
2022-12-09,Croatia,Brazil,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-09,Netherlands,Argentina,2.0,2.0,FIFA World Cup,Lusail,Qatar,True
2022-12-10,Morocco,Portugal,1.0,0.0,FIFA World Cup,Doha,Qatar,True
2022-12-10,England,France,1.0,2.0,FIFA World Cup,Al Khor,Qatar,True
2022-12-13,Argentina,Croatia,3.0,0.0,FIFA World Cup,Lusail,Qatar,True
2022-12-14,France,Morocco,2.0,0.0,FIFA World Cup,Al Khor,Qatar,True
2022-12-17,Croatia,Morocco,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True
2022-12-18,Argentina,France,3.0,3.0,FIFA World Cup,Lusail,Qatar,True
2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Faro-Loulé,Portugal,True
2023-01-12,Sweden,Iceland,2.0,1.0,Friendly,Faro-Loulé,Portugal,True
2023-01-25,United States,Serbia,1.0,2.0,Friendly,Los Angeles,United States,False
2023-01-28,United States,Colombia,0.0,0.0,Friendly,Carson,United States,False
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,Buenos Aires,Argentina,False
2023-03-23,Ghana,Angola,1.0,0.0,African Cup of Nations qualification,Kumasi,Ghana,False
2023-03-23,Algeria,Niger,2.0,1.0,African Cup of Nations qualification,Algiers,Algeria,False
2023-03-23,Italy,England,1.0,2.0,UEFA Euro qualification,Napoli,Italy,False
2023-03-23,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False
2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2023-03-23,Suriname,Mexico,0.0,2.0,CONCACAF Nations League,Paramaribo,Suriname,False
2023-03-24,Australia,Ecuador,3.0,1.0,Friendly,Sydney,Australia,False
2023-03-24,Japan,Uruguay,1.0,1.0,Friendly,Tokyo,Japan,False
2023-03-24,South Korea,Colombia,2.0,2.0,Friendly,Ulsan,South Korea,False
2023-03-24,Cape Verde,Eswatini,0.0,0.0,African Cup of Nations qualification,Praia,Cape Verde,False
2023-03-24,Egypt,Malawi,2.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False
2023-03-24,Ivory Coast,Comoros,3.0,1.0,African Cup of Nations qualification,Bouaké,Ivory Coast,False
2023-03-24,DR Congo,Mauritania,3.0,1.0,African Cup of Nations qualification,Douala,Cameroon,True
2023-03-24,South Africa,Liberia,2.0,2.0,African Cup of Nations qualification,Johannesburg,South Africa,False
2023-03-24,Senegal,Mozambique,5.0,1.0,African Cup of Nations qualification,Diamniadio,Senegal,False
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,Paris,France,False
2023-03-24,Austria,Azerbaijan,4.0,1.0,UEFA Euro qualification,Pasching,Austria,False
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False
2023-03-24,Grenada,United States,1.0,7.0,CONCACAF Nations League,St. George's,Grenada,False
2023-03-25,Germany,Peru,2.0,0.0,Friendly,Mainz,Germany,False
2023-03-25,Morocco,Brazil,2.0,1.0,Friendly,Tangier,Morocco,False
2023-03-25,Spain,Norway,3.0,0.0,UEFA Euro qualification,Málaga,Spain,False
2023-03-25,Croatia,Wales,1.0,1.0,UEFA Euro qualification,Split,Croatia,False
2023-03-25,Belarus,Switzerland,0.0,5.0,UEFA Euro qualification,Novi Sad,Serbia,True
2023-03-25,Curaçao,Canada,0.0,2.0,CONCACAF Nations League,Willemstad,Curaçao,False
2023-03-26,England,Ukraine,2.0,0.0,UEFA Euro qualification,London,England,False
2023-03-26,Luxembourg,Portugal,0.0,6.0,UEFA Euro qualification,Luxembourg,Luxembourg,False
2023-03-26,Slovakia,Bosnia and Herzegovina,2.0,0.0,UEFA Euro qualification,Bratislava,Slovakia,False
2023-03-26,Mexico,Jamaica,2.0,2.0,CONCACAF Nations League,Mexico City,Mexico,False
2023-03-27,Chile,Paraguay,3.0,2.0,Friendly,Santiago,Chile,False
2023-03-27,Angola,Ghana,1.0,1.0,African Cup of Nations qualification,Luanda,Angola,False
2023-03-27,Niger,Algeria,0.0,1.0,African Cup of Nations qualification,Radès,Tunisia,True
2023-03-27,Republic of Ireland,France,0.0,1.0,UEFA Euro qualification,Dublin,Republic of Ireland,False
2023-03-27,Netherlands,Gibraltar,3.0,0.0,UEFA Euro qualification,Rotterdam,Netherlands,False
2023-03-27,Austria,Estonia,2.0,1.0,UEFA Euro qualification,Pasching,Austria,False
2023-03-27,Sweden,Azerbaijan,5.0,0.0,UEFA Euro qualification,Stockholm,Sweden,False
2023-03-27,United States,El Salvador,1.0,0.0,CONCACAF Nations League,Orlando,United States,False
2023-03-28,Argentina,Curaçao,7.0,0.0,Friendly,Santiago del Estero,Argentina,False
2023-03-28,Australia,Ecuador,1.0,2.0,Friendly,Melbourne,Australia,False
2023-03-28,Germany,Belgium,2.0,3.0,Friendly,Cologne,Germany,False
2023-03-28,Japan,Colombia,1.0,2.0,Friendly,Osaka,Japan,False
2023-03-28,Morocco,Peru,0.0,0.0,Friendly,Madrid,Spain,True
2023-03-28,Eswatini,Cape Verde,0.0,1.0,African Cup of Nations qualification,Mbombela,South Africa,True
2023-03-28,Malawi,Egypt,0.0,4.0,African Cup of Nations qualification,Lilongwe,Malawi,False
2023-03-28,Comoros,Ivory Coast,0.0,2.0,African Cup of Nations qualification,Moroni,Comoros,False
2023-03-28,Mauritania,DR Congo,1.0,1.0,African Cup of Nations qualification,Nouakchott,Mauritania,False
2023-03-28,Liberia,South Africa,1.0,2.0,African Cup of Nations qualification,Monrovia,Liberia,False
2023-03-28,Mozambique,Senegal,0.0,1.0,African Cup of Nations qualification,Maputo,Mozambique,False
2023-03-28,Scotland,Spain,2.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False
2023-03-28,Georgia,Norway,1.0,1.0,UEFA Euro qualification,Batumi,Georgia,False
2023-03-28,Turkey,Croatia,0.0,2.0,UEFA Euro qualification,Bursa,Turkey,False
2023-03-28,Switzerland,Israel,3.0,0.0,UEFA Euro qualification,Geneva,Switzerland,False
2023-03-28,Canada,Honduras,4.0,1.0,CONCACAF Nations League,Toronto,Canada,False
2023-04-19,United States,Mexico,1.0,1.0,Friendly,Glendale,United States,False
2023-06-07,Mexico,Guatemala,2.0,0.0,Friendly,Mazatlán,Mexico,False
2023-06-10,Mexico,Cameroon,2.0,2.0,Friendly,San Diego,United States,True
2023-06-12,Germany,Ukraine,3.0,3.0,Friendly,Bremen,Germany,False
2023-06-12,Morocco,Cape Verde,0.0,0.0,Friendly,Rabat,Morocco,False
2023-06-14,DR Congo,Uganda,1.0,0.0,Friendly,Douala,Cameroon,True
2023-06-14,Netherlands,Croatia,2.0,4.0,UEFA Nations League,Rotterdam,Netherlands,False
2023-06-14,Guinea,Egypt,1.0,2.0,African Cup of Nations qualification,Marrakesh,Morocco,True
2023-06-15,Panama,Canada,0.0,2.0,CONCACAF Nations League,Las Vegas,United States,True
2023-06-15,United States,Mexico,3.0,0.0,CONCACAF Nations League,Las Vegas,United States,False
2023-06-15,Argentina,Australia,2.0,0.0,Friendly,Beijing,China,True
2023-06-15,Japan,El Salvador,6.0,0.0,Friendly,Toyota,Japan,False
2023-06-15,Spain,Italy,2.0,1.0,UEFA Nations League,Enschede,Netherlands,True
2023-06-16,Colombia,Iraq,1.0,0.0,Friendly,Valencia,Spain,True
2023-06-16,Poland,Germany,1.0,0.0,Friendly,Warsaw,Poland,False
2023-06-16,Sweden,New Zealand,4.0,1.0,Friendly,Stockholm,Sweden,False
2023-06-16,Gibraltar,France,0.0,3.0,UEFA Euro qualification,Faro-Loulé,Portugal,True
2023-06-16,Malta,England,0.0,4.0,UEFA Euro qualification,Ta' Qali,Malta,False
2023-06-16,Andorra,Switzerland,1.0,2.0,UEFA Euro qualification,Andorra la Vella,Andorra,False
2023-06-17,Brazil,Guinea,4.0,1.0,Friendly,Barcelona,Spain,True
2023-06-17,Ecuador,Bolivia,1.0,0.0,Friendly,Harrison,United States,True
2023-06-17,Norway,Scotland,1.0,2.0,UEFA Euro qualification,Oslo,Norway,False
2023-06-17,Belgium,Austria,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False
2023-06-17,Portugal,Bosnia and Herzegovina,3.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False
2023-06-17,Zambia,Ivory Coast,3.0,0.0,African Cup of Nations qualification,Ndola,Zambia,False
2023-06-17,South Africa,Morocco,2.0,1.0,African Cup of Nations qualification,Johannesburg,South Africa,False
2023-06-17,Benin,Senegal,1.0,1.0,African Cup of Nations qualification,Cotonou,Benin,False
2023-06-18,Panama,Mexico,0.0,1.0,CONCACAF Nations League,Las Vegas,United States,True
2023-06-18,United States,Canada,2.0,0.0,CONCACAF Nations League,Las Vegas,United States,False
2023-06-18,Egypt,South Sudan,3.0,0.0,Friendly,Cairo,Egypt,False
2023-06-18,Paraguay,Nicaragua,2.0,0.0,Friendly,Asunción,Paraguay,False
2023-06-18,Netherlands,Italy,2.0,3.0,UEFA Nations League,Enschede,Netherlands,False
2023-06-18,Croatia,Spain,0.0,0.0,UEFA Nations League,Rotterdam,Netherlands,True
2023-06-18,Cape Verde,Burkina Faso,3.0,1.0,African Cup of Nations qualification,Praia,Cape Verde,False
2023-06-18,Madagascar,Ghana,0.0,0.0,African Cup of Nations qualification,Antananarivo,Madagascar,False
2023-06-18,Uganda,Algeria,1.0,2.0,African Cup of Nations qualification,Douala,Cameroon,True
2023-06-18,Gabon,DR Congo,0.0,2.0,African Cup of Nations qualification,Franceville,Gabon,False
2023-06-19,Indonesia,Argentina,0.0,2.0,Friendly,Jakarta,Indonesia,False
2023-06-19,France,Greece,1.0,0.0,UEFA Euro qualification,Paris,France,False
2023-06-19,England,North Macedonia,7.0,0.0,UEFA Euro qualification,Manchester,England,False
2023-06-19,Switzerland,Romania,2.0,2.0,UEFA Euro qualification,Lucerne,Switzerland,False
2023-06-20,Algeria,Tunisia,1.0,1.0,Friendly,Annaba,Algeria,False
2023-06-20,Brazil,Senegal,2.0,4.0,Friendly,Lisbon,Portugal,True
2023-06-20,Ecuador,Costa Rica,3.0,1.0,Friendly,Chester,United States,True
2023-06-20,Germany,Colombia,0.0,2.0,Friendly,Gelsenkirchen,Germany,False
2023-06-20,Japan,Peru,4.0,1.0,Friendly,Suita,Japan,False
2023-06-20,Norway,Cyprus,3.0,1.0,UEFA Euro qualification,Oslo,Norway,False
2023-06-20,Austria,Sweden,2.0,0.0,UEFA Euro qualification,Vienna,Austria,False
2023-06-20,Estonia,Belgium,0.0,3.0,UEFA Euro qualification,Tallinn,Estonia,False
2023-06-20,Iceland,Portugal,0.0,1.0,UEFA Euro qualification,Reykjavík,Iceland,False
2023-06-20,Bosnia and Herzegovina,Luxembourg,0.0,2.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2023-06-24,United States,Jamaica,1.0,1.0,Gold Cup,Chicago,United States,False
2023-06-25,Mexico,Honduras,4.0,0.0,Gold Cup,Houston,United States,True
2023-06-27,Canada,Guadeloupe,2.0,2.0,Gold Cup,Toronto,Canada,False
2023-06-28,United States,Saint Kitts and Nevis,6.0,0.0,Gold Cup,St. Louis,United States,False
2023-06-29,Haiti,Mexico,1.0,3.0,Gold Cup,Glendale,United States,True
2023-07-01,Guatemala,Canada,0.0,0.0,Gold Cup,Houston,United States,True
2023-07-02,United States,Trinidad and Tobago,6.0,0.0,Gold Cup,Charlotte,United States,False
2023-07-02,Mexico,Qatar,0.0,1.0,Gold Cup,Santa Clara,United States,True
2023-07-04,Canada,Cuba,4.0,2.0,Gold Cup,Houston,United States,True
2023-07-05,South Africa,Namibia,1.0,1.0,COSAFA Cup,Durban,South Africa,False
2023-07-08,Mexico,Costa Rica,2.0,0.0,Gold Cup,Arlington,United States,True
2023-07-08,South Africa,Botswana,2.0,1.0,COSAFA Cup,Durban,South Africa,False
2023-07-09,United States,Canada,2.0,2.0,Gold Cup,Cincinnati,United States,False
2023-07-11,South Africa,Eswatini,2.0,1.0,COSAFA Cup,KwaMashu,South Africa,False
2023-07-12,United States,Panama,1.0,1.0,Gold Cup,San Diego,United States,False
2023-07-12,Jamaica,Mexico,0.0,3.0,Gold Cup,Paradise,United States,True
2023-07-14,South Africa,Zambia,1.0,2.0,COSAFA Cup,Durban,South Africa,False
2023-07-16,Mexico,Panama,1.0,0.0,Gold Cup,Inglewood,United States,True
2023-07-16,South Africa,Malawi,0.0,0.0,COSAFA Cup,Durban,South Africa,False
2023-09-07,Colombia,Venezuela,1.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2023-09-07,Paraguay,Peru,0.0,0.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,False
2023-09-07,Argentina,Ecuador,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-09-07,Austria,Moldova,1.0,1.0,Friendly,Pasching,Austria,False
2023-09-07,Norway,Jordan,6.0,0.0,Friendly,Oslo,Norway,False
2023-09-07,Ghana,Central African Republic,2.0,1.0,African Cup of Nations qualification,Kumasi,Ghana,False
2023-09-07,Algeria,Tanzania,0.0,0.0,African Cup of Nations qualification,Annaba,Algeria,False
2023-09-07,France,Republic of Ireland,2.0,0.0,UEFA Euro qualification,Paris,France,False
2023-09-07,Netherlands,Greece,3.0,0.0,UEFA Euro qualification,Eindhoven,Netherlands,False
2023-09-08,Brazil,Bolivia,5.0,1.0,FIFA World Cup qualification,Belém,Brazil,False
2023-09-08,Egypt,Ethiopia,1.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False
2023-09-08,Georgia,Spain,1.0,7.0,UEFA Euro qualification,Tbilisi,Georgia,False
2023-09-08,Croatia,Latvia,5.0,0.0,UEFA Euro qualification,Rijeka,Croatia,False
2023-09-08,Bosnia and Herzegovina,Liechtenstein,2.0,1.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2023-09-08,Slovakia,Portugal,0.0,1.0,UEFA Euro qualification,Bratislava,Slovakia,False
2023-09-09,Germany,Japan,1.0,4.0,Friendly,Wolfsburg,Germany,False
2023-09-09,Mexico,Australia,2.0,2.0,Friendly,Arlington,United States,True
2023-09-09,South Africa,Namibia,0.0,0.0,Friendly,Johannesburg,South Africa,False
2023-09-09,United States,Uzbekistan,3.0,0.0,Friendly,St. Louis,United States,False
2023-09-09,Ivory Coast,Lesotho,1.0,0.0,African Cup of Nations qualification,San-Pédro,Ivory Coast,False
2023-09-09,DR Congo,Sudan,2.0,0.0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2023-09-09,Rwanda,Senegal,1.0,1.0,African Cup of Nations qualification,Butare,Rwanda,False
2023-09-09,Ukraine,England,1.0,1.0,UEFA Euro qualification,Wrocław,Poland,True
2023-09-09,Azerbaijan,Belgium,0.0,1.0,UEFA Euro qualification,Baku,Azerbaijan,False
2023-09-09,Estonia,Sweden,0.0,5.0,UEFA Euro qualification,Tallinn,Estonia,False
2023-09-09,Kosovo,Switzerland,2.0,2.0,UEFA Euro qualification,Pristina,Kosovo,False
2023-09-10,Togo,Cape Verde,3.0,2.0,African Cup of Nations qualification,Lomé,Togo,False
2023-09-10,Republic of Ireland,Netherlands,1.0,2.0,UEFA Euro qualification,Dublin,Republic of Ireland,False
2023-09-11,Armenia,Croatia,0.0,1.0,UEFA Euro qualification,Yerevan,Armenia,False
2023-09-11,Iceland,Bosnia and Herzegovina,1.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False
2023-09-11,Portugal,Luxembourg,9.0,0.0,UEFA Euro qualification,São João da Venda,Portugal,False
2023-09-12,Bolivia,Argentina,0.0,3.0,FIFA World Cup qualification,La Paz,Bolivia,False
2023-09-12,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False
2023-09-12,Venezuela,Paraguay,1.0,0.0,FIFA World Cup qualification,Maturín,Venezuela,False
2023-09-12,Peru,Brazil,0.0,1.0,FIFA World Cup qualification,Lima,Peru,False
2023-09-12,Chile,Colombia,0.0,0.0,FIFA World Cup qualification,Santiago,Chile,False
2023-09-12,Egypt,Tunisia,1.0,3.0,Friendly,Cairo,Egypt,False
2023-09-12,Germany,France,2.0,1.0,Friendly,Dortmund,Germany,False
2023-09-12,Ghana,Liberia,3.0,1.0,Friendly,Accra,Ghana,False
2023-09-12,Japan,Turkey,4.0,2.0,Friendly,Genk,Belgium,True
2023-09-12,Mexico,Uzbekistan,3.0,3.0,Friendly,Atlanta,United States,True
2023-09-12,Morocco,Burkina Faso,1.0,0.0,Friendly,Lens,France,True
2023-09-12,Scotland,England,1.0,3.0,Friendly,Glasgow,Scotland,False
2023-09-12,Senegal,Algeria,0.0,1.0,Friendly,Diamniadio,Senegal,False
2023-09-12,South Africa,DR Congo,1.0,0.0,Friendly,Johannesburg,South Africa,False
2023-09-12,United States,Oman,4.0,0.0,Friendly,Saint Paul,United States,False
2023-09-12,Norway,Georgia,2.0,1.0,UEFA Euro qualification,Oslo,Norway,False
2023-09-12,Spain,Cyprus,6.0,0.0,UEFA Euro qualification,Granada,Spain,False
2023-09-12,Belgium,Estonia,5.0,0.0,UEFA Euro qualification,Brussels,Belgium,False
2023-09-12,Sweden,Austria,1.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False
2023-09-12,Switzerland,Andorra,3.0,0.0,UEFA Euro qualification,Sion,Switzerland,False
2023-10-12,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2023-10-12,Bolivia,Ecuador,1.0,2.0,FIFA World Cup qualification,La Paz,Bolivia,False
2023-10-12,Argentina,Paraguay,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-10-12,Brazil,Venezuela,1.0,1.0,FIFA World Cup qualification,Cuiabá,Brazil,False
2023-10-12,Algeria,Cape Verde,5.0,1.0,Friendly,Constantine,Algeria,False
2023-10-12,Egypt,Zambia,1.0,0.0,Friendly,Al Ain,United Arab Emirates,True
2023-10-12,Sweden,Moldova,3.0,1.0,Friendly,Stockholm,Sweden,False
2023-10-12,Spain,Scotland,2.0,0.0,UEFA Euro qualification,Seville,Spain,False
2023-10-12,Cyprus,Norway,0.0,4.0,UEFA Euro qualification,Larnaca,Cyprus,False
2023-10-12,Croatia,Turkey,0.0,1.0,UEFA Euro qualification,Osijek,Croatia,False
2023-10-13,DR Congo,New Zealand,1.0,1.0,Friendly,Murcia,Spain,True
2023-10-13,England,Australia,1.0,0.0,Friendly,London,England,False
2023-10-13,Japan,Canada,4.0,1.0,Friendly,Niigata,Japan,False
2023-10-13,South Africa,Eswatini,0.0,0.0,Friendly,Johannesburg,South Africa,False
2023-10-13,Netherlands,France,1.0,2.0,UEFA Euro qualification,Amsterdam,Netherlands,False
2023-10-13,Austria,Belgium,2.0,3.0,UEFA Euro qualification,Vienna,Austria,False
2023-10-13,Portugal,Slovakia,3.0,2.0,UEFA Euro qualification,Porto,Portugal,False
2023-10-13,Liechtenstein,Bosnia and Herzegovina,0.0,2.0,UEFA Euro qualification,Vaduz,Liechtenstein,False
2023-10-14,Ivory Coast,Morocco,1.0,1.0,Friendly,Abidjan,Ivory Coast,False
2023-10-14,Mexico,Ghana,2.0,0.0,Friendly,Charlotte,United States,True
2023-10-14,United States,Germany,1.0,3.0,Friendly,East Hartford,United States,False
2023-10-15,Norway,Spain,0.0,1.0,UEFA Euro qualification,Oslo,Norway,False
2023-10-15,Wales,Croatia,2.0,1.0,UEFA Euro qualification,Cardiff,Wales,False
2023-10-15,Switzerland,Belarus,3.0,3.0,UEFA Euro qualification,St. Gallen,Switzerland,False
2023-10-16,Algeria,Egypt,1.0,1.0,Friendly,Al Ain,United Arab Emirates,True
2023-10-16,Senegal,Cameroon,1.0,0.0,Friendly,Lens,France,True
2023-10-16,Greece,Netherlands,0.0,1.0,UEFA Euro qualification,Athens,Greece,False
2023-10-16,Azerbaijan,Austria,0.0,1.0,UEFA Euro qualification,Baku,Azerbaijan,False
2023-10-16,Belgium,Sweden,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False
2023-10-16,Bosnia and Herzegovina,Portugal,0.0,5.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2023-10-17,Ecuador,Colombia,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False
2023-10-17,Paraguay,Bolivia,1.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False
2023-10-17,Peru,Argentina,0.0,2.0,FIFA World Cup qualification,Lima,Peru,False
2023-10-17,Uruguay,Brazil,2.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2023-10-17,Angola,DR Congo,0.0,0.0,Friendly,Setúbal,Portugal,True
2023-10-17,Australia,New Zealand,2.0,0.0,Soccer Ashes,Brentford,England,True
2023-10-17,Cape Verde,Comoros,1.0,2.0,Friendly,Fos-sur-Mer,Cape Verde,False
2023-10-17,France,Scotland,4.0,1.0,Friendly,Lille,France,False
2023-10-17,Ivory Coast,South Africa,1.0,1.0,Friendly,Abidjan,Ivory Coast,False
2023-10-17,Mexico,Germany,2.0,2.0,Friendly,Philadelphia,United States,True
2023-10-17,United States,Ghana,4.0,0.0,Friendly,Nashville,United States,False
2023-10-17,Morocco,Liberia,3.0,0.0,African Cup of Nations qualification,Agadir,Morocco,False
2023-10-17,England,Italy,3.0,1.0,UEFA Euro qualification,London,England,False
2023-11-15,DR Congo,Mauritania,2.0,0.0,FIFA World Cup qualification,Kinshasa,DR Congo,False
2023-11-15,Belgium,Serbia,1.0,0.0,Friendly,Leuven,Belgium,False
2023-11-15,Israel,Switzerland,1.0,1.0,UEFA Euro qualification,Felcsút,Hungary,True
2023-11-16,United States,Trinidad and Tobago,3.0,0.0,CONCACAF Nations League,Austin,United States,False
2023-11-16,Venezuela,Ecuador,0.0,0.0,FIFA World Cup qualification,Maturín,Venezuela,False
2023-11-16,Colombia,Brazil,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2023-11-16,Argentina,Uruguay,0.0,2.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-11-16,Chile,Paraguay,0.0,0.0,FIFA World Cup qualification,Santiago,Chile,False
2023-11-16,Japan,Myanmar,5.0,0.0,FIFA World Cup qualification,Suita,Japan,False
2023-11-16,Australia,Bangladesh,7.0,0.0,FIFA World Cup qualification,Melbourne,Australia,False
2023-11-16,Egypt,Djibouti,6.0,0.0,FIFA World Cup qualification,Cairo,Egypt,False
2023-11-16,Cape Verde,Angola,0.0,0.0,FIFA World Cup qualification,Praia,Cape Verde,False
2023-11-16,Algeria,Somalia,3.0,1.0,FIFA World Cup qualification,Algiers,Algeria,False
2023-11-16,Norway,Faroe Islands,2.0,0.0,Friendly,Oslo,Norway,False
2023-11-16,Cyprus,Spain,1.0,3.0,UEFA Euro qualification,Limassol,Cyprus,False
2023-11-16,Estonia,Austria,0.0,2.0,UEFA Euro qualification,Tallinn,Estonia,False
2023-11-16,Azerbaijan,Sweden,3.0,0.0,UEFA Euro qualification,Baku,Azerbaijan,False
2023-11-16,Liechtenstein,Portugal,0.0,2.0,UEFA Euro qualification,Vaduz,Liechtenstein,False
2023-11-16,Luxembourg,Bosnia and Herzegovina,4.0,1.0,UEFA Euro qualification,Luxembourg,Luxembourg,False
2023-11-17,Honduras,Mexico,2.0,0.0,CONCACAF Nations League,Tegucigalpa,Honduras,False
2023-11-17,Ivory Coast,Seychelles,9.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2023-11-17,Ghana,Madagascar,1.0,0.0,FIFA World Cup qualification,Kumasi,Ghana,False
2023-11-17,England,Malta,2.0,0.0,UEFA Euro qualification,London,England,False
2023-11-18,Jamaica,Canada,1.0,2.0,CONCACAF Nations League,Kingston,Jamaica,False
2023-11-18,Senegal,South Sudan,4.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,False
2023-11-18,South Africa,Benin,2.0,1.0,FIFA World Cup qualification,Durban,South Africa,False
2023-11-18,Germany,Turkey,2.0,3.0,Friendly,Berlin,Germany,False
2023-11-18,France,Gibraltar,14.0,0.0,UEFA Euro qualification,Nice,France,False
2023-11-18,Netherlands,Republic of Ireland,1.0,0.0,UEFA Euro qualification,Amsterdam,Netherlands,False
2023-11-18,Latvia,Croatia,0.0,2.0,UEFA Euro qualification,Riga,Latvia,False
2023-11-18,Switzerland,Kosovo,1.0,1.0,UEFA Euro qualification,Basel,Switzerland,False
2023-11-19,Sierra Leone,Egypt,0.0,2.0,FIFA World Cup qualification,Monrovia,Liberia,True
2023-11-19,Sudan,DR Congo,1.0,0.0,FIFA World Cup qualification,Benghazi,Libya,True
2023-11-19,Mozambique,Algeria,0.0,2.0,FIFA World Cup qualification,Maputo,Mozambique,False
2023-11-19,Scotland,Norway,3.0,3.0,UEFA Euro qualification,Glasgow,Scotland,False
